iter	Passed	Remaining
0	1	147
1	2	140
2	4	136
3	5	133
4	6	132
5	8	130
6	9	128
7	11	127
8	12	125
9	13	123
10	15	121
11	16	120
12	17	118
13	19	117
14	20	116
15	21	115
16	23	114
17	24	112
18	26	111
19	27	110
20	29	109
21	30	107
22	31	106
23	33	104
24	34	103
25	35	102
26	37	100
27	38	99
28	40	98
29	41	96
30	43	96
31	44	94
32	46	93
33	47	91
34	48	90
35	50	89
36	51	87
37	53	86
38	54	85
39	55	83
40	57	82
41	59	81
42	60	80
43	61	78
44	62	76
45	64	75
46	65	73
47	66	72
48	68	70
49	69	69
50	70	68
51	72	66
52	73	65
53	74	63
54	76	62
55	77	60
56	78	59
57	80	58
58	81	56
59	82	55
60	84	53
61	85	52
62	87	51
63	88	49
64	89	48
65	91	47
66	92	45
67	94	44
68	95	42
69	96	41
70	98	40
71	99	38
72	100	37
73	102	35
74	103	34
75	105	33
76	106	31
77	107	30
78	109	29
79	110	27
80	111	26
81	113	24
82	114	23
83	116	22
84	117	20
85	118	19
86	120	17
87	121	16
88	122	15
89	123	13
90	125	12
91	126	10
92	127	9
93	128	8
94	129	6
95	131	5
96	132	4
97	133	2
98	134	1
99	136	0
